Var Name,Description,Options
Date_month,Month the training was performed.,Free Text
Date_day,Day of the month the training was performed.,Free Text
Date_year,Year the training was performed.,Free Text
Name,Name of participant,Free Text
IsStaff,"""Check if you are a staff member""","""0"" if unchecked, ""1"" if checked"
UniqueID,Unique ID of the participant,Free Text
SEP,Last 4 digits of the participant's social security,Free Text
DOB_month,Month the participant was born.,Free Text
DOB_day,Day of the month the pariticpant was born.,Free Text
DOB_year,Year the participant was born.,Free Text
Age,Age of the participant,Free Text
Gender,Gender of the participant,Free Text
Race,Race of the participant ,Free Text
Zipcode,Zipcode of participant,Free Text
Received_ppp,"""How many times have you received Naloxone"": ""at PPP?""",Free Text
Received_pharmacy,"""How many times have you received Naloxone"": ""at a pharmacy?""",Free Text
Insurance_yes,"""Do you you currently have insurance?"": ""Yes"" checked","""0"" if unchecked, ""1"" if checked"
Insurance_no,"""Do you you currently have insurance?"": ""No"" checked","""0"" if unchecked, ""1"" if checked"
Reason_used,"""Why do you need refill today? Naloxone was . . ."" : ""Used up"" checked","""0"" if unchecked, ""1"" if checked"
Reason_stolen,"""Why do you need refill today? Naloxone was . . ."" : ""Stolen"" checked","""0"" if unchecked, ""1"" if checked"
Reason_lost,"""Why do you need refill today? Naloxone was . . ."" : ""Lost"" checked","""0"" if unchecked, ""1"" if checked"
Reason_other,"""Why do you need refill today? Naloxone was . . ."" : ""Other"" checked","""0"" if unchecked, ""1"" if checked"
Reason_other_text,"""Why do you need refill today? Naloxone was . . ."" : Other explanatory text",Free Text
Last_less,"""When did you pick up Naloxone the last time?"": ""< 1 month"" checked","""0"" if unchecked, ""1"" if checked"
Last_3month,"""When did you pick up Naloxone the last time?"": ""1-3 months"" checked","""0"" if unchecked, ""1"" if checked"
Last_6month,"""When did you pick up Naloxone the last time?"": ""3-6 months"" checked","""0"" if unchecked, ""1"" if checked"
Last_more,"""When did you pick up Naloxone the last time?"": ""> 6 months"" checked","""0"" if unchecked, ""1"" if checked"
Overdose_less,"""How many overdoses have you seen?"" : ""< 5"" checked","""0"" if unchecked, ""1"" if checked"
Overdose_10,"""How many overdoses have you seen?"" : ""5 -10"" checked","""0"" if unchecked, ""1"" if checked"
Overdose_15,"""How many overdoses have you seen?"" : ""11-15"" checked","""0"" if unchecked, ""1"" if checked"
